_partition,_aspect,_key,_type,_value
Column,admin_region,displayChoicesList,object,"[{""choice_list_name"":""regions"",""data_value"":""dowa"",""display"":{""text"":""Dowa""},""_row_num"":60},{""choice_list_name"":""regions"",""data_value"":""kasungu"",""display"":{""text"":""Kasungu""},""_row_num"":61},{""choice_list_name"":""regions"",""data_value"":""nkhotakota"",""display"":{""text"":""Nkhotakota""},""_row_num"":62},{""choice_list_name"":""regions"",""data_value"":""ntchisi"",""display"":{""text"":""Ntchisi""},""_row_num"":63},{""choice_list_name"":""regions"",""data_value"":""salima"",""display"":{""text"":""Salima""},""_row_num"":64},{""choice_list_name"":""regions"",""data_value"":""dedza"",""display"":{""text"":""Dedza""},""_row_num"":65},{""choice_list_name"":""regions"",""data_value"":""lilongwe"",""display"":{""text"":""Lilongwe""},""_row_num"":66},{""choice_list_name"":""regions"",""data_value"":""mchinji"",""display"":{""text"":""Mchinji""},""_row_num"":67},{""choice_list_name"":""regions"",""data_value"":""ntcheu"",""display"":{""text"":""Ntcheu""},""_row_num"":68},{""choice_list_name"":""regions"",""data_value"":""chitipa"",""display"":{""text"":""Chitipa""},""_row_num"":69},{""choice_list_name"":""regions"",""data_value"":""karonga"",""display"":{""text"":""Karonga""},""_row_num"":70},{""choice_list_name"":""regions"",""data_value"":""likoma"",""display"":{""text"":""Likoma""},""_row_num"":71},{""choice_list_name"":""regions"",""data_value"":""mzimba north"",""display"":{""text"":""Mzimba North""},""_row_num"":72},{""choice_list_name"":""regions"",""data_value"":""mzimba south"",""display"":{""text"":""Mzimba South""},""_row_num"":73},{""choice_list_name"":""regions"",""data_value"":""nkhata bay"",""display"":{""text"":""Nkhata Bay""},""_row_num"":74},{""choice_list_name"":""regions"",""data_value"":""rumphi"",""display"":{""text"":""Rumphi""},""_row_num"":75},{""choice_list_name"":""regions"",""data_value"":""balaka"",""display"":{""text"":""Balaka""},""_row_num"":76},{""choice_list_name"":""regions"",""data_value"":""machinga"",""display"":{""text"":""Machinga""},""_row_num"":77},{""choice_list_name"":""regions"",""data_value"":""mangochi"",""display"":{""text"":""Mangochi""},""_row_num"":78},{""choice_list_name"":""regions"",""data_value"":""mulanje"",""display"":{""text"":""Mulanje""},""_row_num"":79},{""choice_list_name"":""regions"",""data_value"":""phalombe"",""display"":{""text"":""Phalombe""},""_row_num"":80},{""choice_list_name"":""regions"",""data_value"":""zomba"",""display"":{""text"":""Zomba""},""_row_num"":81},{""choice_list_name"":""regions"",""data_value"":""blantyre"",""display"":{""text"":""Blantyre""},""_row_num"":82},{""choice_list_name"":""regions"",""data_value"":""chikwawa"",""display"":{""text"":""Chikwawa""},""_row_num"":83},{""choice_list_name"":""regions"",""data_value"":""chiladzulu"",""display"":{""text"":""Chiladzulu""},""_row_num"":84},{""choice_list_name"":""regions"",""data_value"":""mwanza"",""display"":{""text"":""Mwanza""},""_row_num"":85},{""choice_list_name"":""regions"",""data_value"":""neno"",""display"":{""text"":""Neno""},""_row_num"":86},{""choice_list_name"":""regions"",""data_value"":""nsanje"",""display"":{""text"":""Nsanje""},""_row_num"":87},{""choice_list_name"":""regions"",""data_value"":""thyolo"",""display"":{""text"":""Thyolo""},""_row_num"":88}]"
Column,climate_zone,displayChoicesList,object,"[{""choice_list_name"":""climate_types"",""data_value"":""moderate"",""display"":{""text"":""Moderate""},""_row_num"":41},{""choice_list_name"":""climate_types"",""data_value"":""temperate"",""display"":{""text"":""Temperate""},""_row_num"":42},{""choice_list_name"":""climate_types"",""data_value"":""hot"",""display"":{""text"":""Hot""},""_row_num"":43}]"
Column,delivery_type,displayChoicesList,object,"[{""choice_list_name"":""delivery_types"",""data_value"":""static"",""display"":{""text"":""Static""},""_row_num"":49},{""choice_list_name"":""delivery_types"",""data_value"":""outreach"",""display"":{""text"":""Outreach""},""_row_num"":50},{""choice_list_name"":""delivery_types"",""data_value"":""both"",""display"":{""text"":""Both Static and Outreach""},""_row_num"":51},{""choice_list_name"":""delivery_types"",""data_value"":""none"",""display"":{""text"":""None""},""_row_num"":52}]"
Column,electricity_source,displayChoicesList,object,"[{""choice_list_name"":""elec_sources"",""data_value"":""grid"",""display"":{""text"":""Grid""},""_row_num"":24},{""choice_list_name"":""elec_sources"",""data_value"":""generator"",""display"":{""text"":""Generator""},""_row_num"":25},{""choice_list_name"":""elec_sources"",""data_value"":""both"",""display"":{""text"":""Both Grid and Generator""},""_row_num"":26},{""choice_list_name"":""elec_sources"",""data_value"":""none"",""display"":{""text"":""None""},""_row_num"":27}]"
Column,facility_ownership,displayChoicesList,object,"[{""choice_list_name"":""ownership_types"",""data_value"":""public"",""display"":{""text"":""Public""},""_row_num"":18},{""choice_list_name"":""ownership_types"",""data_value"":""private"",""display"":{""text"":""Private""},""_row_num"":19},{""choice_list_name"":""ownership_types"",""data_value"":""ngo"",""display"":{""text"":""NGO""},""_row_num"":20},{""choice_list_name"":""ownership_types"",""data_value"":""faithbased"",""display"":{""text"":""Faithbased""},""_row_num"":21},{""choice_list_name"":""ownership_types"",""data_value"":""other"",""display"":{""text"":""Other""},""_row_num"":22}]"
Column,facility_type,displayChoicesList,object,"[{""choice_list_name"":""facility_types"",""data_value"":""national_vaccine_store"",""display"":{""text"":""National vaccine store""},""_row_num"":5},{""choice_list_name"":""facility_types"",""data_value"":""regional_vaccine_store"",""display"":{""text"":""Regional vaccine store""},""_row_num"":6},{""choice_list_name"":""facility_types"",""data_value"":""district_vaccine_store"",""display"":{""text"":""District vaccine store""},""_row_num"":7},{""choice_list_name"":""facility_types"",""data_value"":""central_hospital"",""display"":{""text"":""Central hospital""},""_row_num"":8},{""choice_list_name"":""facility_types"",""data_value"":""district_hospital"",""display"":{""text"":""District hospital""},""_row_num"":9},{""choice_list_name"":""facility_types"",""data_value"":""rural_hospital"",""display"":{""text"":""Rural hospital""},""_row_num"":10},{""choice_list_name"":""facility_types"",""data_value"":""hospital"",""display"":{""text"":""Hospital""},""_row_num"":11},{""choice_list_name"":""facility_types"",""data_value"":""community_hospital"",""display"":{""text"":""Community hospital""},""_row_num"":12},{""choice_list_name"":""facility_types"",""data_value"":""health_centre"",""display"":{""text"":""Health centre""},""_row_num"":13},{""choice_list_name"":""facility_types"",""data_value"":""dispensary"",""display"":{""text"":""Dispensary""},""_row_num"":14},{""choice_list_name"":""facility_types"",""data_value"":""health_post"",""display"":{""text"":""Health post""},""_row_num"":15},{""choice_list_name"":""facility_types"",""data_value"":""maternity"",""display"":{""text"":""Maternity""},""_row_num"":16}]"
Column,gas_availability,displayChoicesList,object,"[{""choice_list_name"":""fuel_availability"",""data_value"":""available"",""display"":{""text"":""Available""},""_row_num"":35},{""choice_list_name"":""fuel_availability"",""data_value"":""irregular"",""display"":{""text"":""Irregular""},""_row_num"":36},{""choice_list_name"":""fuel_availability"",""data_value"":""not_available"",""display"":{""text"":""Not Available""},""_row_num"":37},{""choice_list_name"":""fuel_availability"",""data_value"":""unknown"",""display"":{""text"":""Unknown""},""_row_num"":38},{""choice_list_name"":""fuel_availability"",""data_value"":""not_applicable"",""display"":{""text"":""Not Applicable""},""_row_num"":39}]"
Column,grid_power_availability,displayChoicesList,object,"[{""choice_list_name"":""grid"",""data_value"":""more_than_16"",""display"":{""text"":""More than 16""},""_row_num"":29},{""choice_list_name"":""grid"",""data_value"":""8_to_16"",""display"":{""text"":""8 to 16""},""_row_num"":30},{""choice_list_name"":""grid"",""data_value"":""4_to_8"",""display"":{""text"":""4 to 8""},""_row_num"":31},{""choice_list_name"":""grid"",""data_value"":""fewer_than_4"",""display"":{""text"":""Fewer than 4""},""_row_num"":32},{""choice_list_name"":""grid"",""data_value"":""none"",""display"":{""text"":""None""},""_row_num"":33}]"
Column,kerosene_availability,displayChoicesList,object,"[{""choice_list_name"":""fuel_availability"",""data_value"":""available"",""display"":{""text"":""Available""},""_row_num"":35},{""choice_list_name"":""fuel_availability"",""data_value"":""irregular"",""display"":{""text"":""Irregular""},""_row_num"":36},{""choice_list_name"":""fuel_availability"",""data_value"":""not_available"",""display"":{""text"":""Not Available""},""_row_num"":37},{""choice_list_name"":""fuel_availability"",""data_value"":""unknown"",""display"":{""text"":""Unknown""},""_row_num"":38},{""choice_list_name"":""fuel_availability"",""data_value"":""not_applicable"",""display"":{""text"":""Not Applicable""},""_row_num"":39}]"
Column,solar_suitable_climate,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":3}]"
Column,solar_suitable_site,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":3}]"
Column,storage_type,displayChoicesList,object,"[{""choice_list_name"":""storage_types"",""data_value"":""depot"",""display"":{""text"":""Depot""},""_row_num"":45},{""choice_list_name"":""storage_types"",""data_value"":""delivery"",""display"":{""text"":""Delivery""},""_row_num"":46},{""choice_list_name"":""storage_types"",""data_value"":""both"",""display"":{""text"":""Both Depot and Delivery""},""_row_num"":47}]"
Column,vaccine_supply_mode,displayChoicesList,object,"[{""choice_list_name"":""vaccine_modes"",""data_value"":""delivered"",""display"":{""text"":""Delivered""},""_row_num"":54},{""choice_list_name"":""vaccine_modes"",""data_value"":""collected"",""display"":{""text"":""Collected""},""_row_num"":55},{""choice_list_name"":""vaccine_modes"",""data_value"":""both"",""display"":{""text"":""Both Delivered and Collected""},""_row_num"":56},{""choice_list_name"":""vaccine_modes"",""data_value"":""none"",""display"":{""text"":""None""},""_row_num"":57},{""choice_list_name"":""vaccine_modes"",""data_value"":""unknown"",""display"":{""text"":""Unknown""},""_row_num"":58}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,health_facility
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/tables/health_facility/html/health_facility_detail.html
Table,default,displayName,object,"""Health Facility"""
Table,default,listViewFileName,string,config/tables/health_facility/html/health_facility_list.html
Table,default,mapListViewFileName,string,config/tables/health_facility/html/health_facility_list.html
TableMapFragment,default,keyColorRuleType,string,None
TableMapFragment,default,keyMapLatCol,string,Location_latitude
TableMapFragment,default,keyMapLongCol,string,Location_longitude
