_partition,_aspect,_key,_type,_value
Column,location,displayChoicesList,json,
Column,location,displayFormat,string,
Column,location,displayName,json,"""location"""
Column,location,displayVisible,boolean,TRUE
Column,location,joins,json,
Column,location_accuracy,displayChoicesList,json,
Column,location_accuracy,displayFormat,string,
Column,location_accuracy,displayName,json,"""accuracy"""
Column,location_accuracy,displayVisible,boolean,TRUE
Column,location_accuracy,joins,json,
Column,location_altitude,displayChoicesList,json,
Column,location_altitude,displayFormat,string,
Column,location_altitude,displayName,json,"""altitude"""
Column,location_altitude,displayVisible,boolean,TRUE
Column,location_altitude,joins,json,
Column,location_latitude,displayChoicesList,json,
Column,location_latitude,displayFormat,string,
Column,location_latitude,displayName,json,"""latitude"""
Column,location_latitude,displayVisible,boolean,TRUE
Column,location_latitude,joins,json,
Column,location_longitude,displayChoicesList,json,
Column,location_longitude,displayFormat,string,
Column,location_longitude,displayName,json,"""longitude"""
Column,location_longitude,displayVisible,boolean,TRUE
Column,location_longitude,joins,json,
Column,planting,displayChoicesList,json,
Column,planting,displayFormat,string,
Column,planting,displayName,json,"""planting"""
Column,planting,displayVisible,boolean,TRUE
Column,planting,joins,json,
Column,plot_id,displayChoicesList,json,
Column,plot_id,displayFormat,string,
Column,plot_id,displayName,json,"""plot_id"""
Column,plot_id,displayVisible,boolean,TRUE
Column,plot_id,joins,json,
Column,plot_name,displayChoicesList,json,
Column,plot_name,displayFormat,string,
Column,plot_name,displayName,json,"""plot_name"""
Column,plot_name,displayVisible,boolean,TRUE
Column,plot_name,joins,json,
DetailDisplayActivity,default,filename,string,tables/plot/html/plot_detail.html
FormType,default,FormType.formType,string,SURVEY
ListDisplayActivity,default,nameOfListView,string,plots
ListDisplayActivity.views,plots,filename,string,tables/plot/html/plot_list.html
SurveyUtil,default,SurveyUtil.formId,string,plot
Table,default,colOrder,json,"[""plot_id"",""plot_name"",""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy"",""planting""]"
Table,default,defaultViewType,string,Spreadsheet
Table,default,displayName,json,"""Plot"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
TableMapFragment,default,keyColorRuleType,string,None
TableMapFragment,default,keyFilename,string,tables/plot/html/plot_list.html
TableMapFragment,default,keyMapLatCol,string,location_latitude
TableMapFragment,default,keyMapLongCol,string,location_longitude
