_partition,_aspect,_key,_type,_value
Column,Date_and_Time,displayChoicesList,object,[]
Column,Date_and_Time,displayFormat,string,
Column,Date_and_Time,displayName,object,"""Date and Time"""
Column,Date_and_Time,displayVisible,boolean,TRUE
Column,Date_and_Time,joins,object,
Column,Description,displayChoicesList,object,[]
Column,Description,displayFormat,string,
Column,Description,displayName,object,"""Description"""
Column,Description,displayVisible,boolean,TRUE
Column,Description,joins,object,
Column,Image,displayChoicesList,object,[]
Column,Image,displayFormat,string,
Column,Image,displayName,object,"""Image"""
Column,Image,displayVisible,boolean,TRUE
Column,Image,joins,object,
Column,Location,displayChoicesList,object,[]
Column,Location,displayFormat,string,
Column,Location,displayName,object,"""Location"""
Column,Location,displayVisible,boolean,TRUE
Column,Location,joins,object,
Column,instance_name,displayChoicesList,object,[]
Column,instance_name,displayFormat,string,
Column,instance_name,displayName,object,"""instance_name"""
Column,instance_name,displayVisible,boolean,TRUE
Column,instance_name,joins,object,
DetailDisplayActivity,default,filename,string,tables/geotagger/html/geo_detail.html
ListDisplayActivity,default,nameOfListView,string,List View 0
ListDisplayActivity.views,List Thumbnail,filename,string,tables/geotagger/html/geo_list_thumbnail.html
ListDisplayActivity.views,List View 0,filename,string,tables/geotagger/html/geo_list.html
Table,default,colOrder,object,"[""instance_name"",""Date_and_Time"",""Image"",""Location"",""Description""]"
Table,default,defaultViewType,string,Spreadsheet
Table,default,displayName,object,"""Geotagger"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
TableMapFragment,default,keyColorRuleType,string,None
TableMapFragment,default,keyFilename,string,tables/geotagger/html/geo_list.html
TableMapFragment,default,keyMapLatCol,string,Location
TableMapFragment,default,keyMapLongCol,string,Location
