_element_key,_element_name,_element_type,_list_child_element_keys
assigned_code,assigned_code,string,[]
authorization_id,authorization_id,string,[]
authorization_name,authorization_name,string,[]
beneficiary_code,beneficiary_code,string,[]
date_time,date_time,dateTime,[]
delivery_site,delivery_site,string,[]
distributor,distributor,string,[]
entitlement_id,entitlement_id,string,[]
is_delivered,is_delivered,string,[]
is_override,is_override,string,[]
item_description,item_description,string,[]
item_pack_id,item_pack_id,string,[]
item_pack_name,item_pack_name,string,[]
ranges,ranges,string,[]
scanned_item_pack,scanned_item_pack,string,[]
sector,sector,string,[]
