_partition,_aspect,_key,_type,_value
Column,adminRegion,displayName,object,"{""text"":{""default"":""Admin region"",""es"":""Región de Administracion""}}"
Column,facility_row_id,displayName,object,"{""text"":{""default"":""Health Facility"",""es"":""Facilidad de Salúd""}}"
Column,model_row_id,displayName,object,"{""text"":{""default"":""Model"",""es"":""Modelo""}}"
Column,power_source,displayChoicesList,object,"[{""choice_list_name"":""power"",""data_value"":""electricity"",""display"":{""title"":{""text"":{""default"":""Electricity"",""es"":""Electricidad""}}},""_row_num"":8},{""choice_list_name"":""power"",""data_value"":""gas"",""display"":{""title"":{""text"":{""default"":""Gas"",""es"":""Combustible""}}},""_row_num"":9},{""choice_list_name"":""power"",""data_value"":""kerosene"",""display"":{""title"":{""text"":{""default"":""Kerosene"",""es"":""Queroseno""}}},""_row_num"":10},{""choice_list_name"":""power"",""data_value"":""solar"",""display"":{""title"":{""text"":{""default"":""Solar"",""es"":""Solár""}}},""_row_num"":11},{""choice_list_name"":""power"",""data_value"":""unknown"",""display"":{""title"":{""text"":{""default"":""Unknown"",""es"":""Desconocido""}}},""_row_num"":12}]"
Column,power_source,displayName,object,"{""text"":{""default"":""Power Source"",""es"":""Fuente de Poder""}}"
Column,reason_not_working,displayChoicesList,object,"[{""choice_list_name"":""reasons"",""data_value"":""needs_spare_parts"",""display"":{""title"":{""text"":{""default"":""Needs Spare Parts"",""es"":""Necesita Partes""}}},""_row_num"":18},{""choice_list_name"":""reasons"",""data_value"":""no_finance"",""display"":{""title"":{""text"":{""default"":""No Finance"",""es"":""Sin Dinero""}}},""_row_num"":19},{""choice_list_name"":""reasons"",""data_value"":""no_fuel"",""display"":{""title"":{""text"":{""default"":""No Fuel"",""es"":""Sin Combustible""}}},""_row_num"":20},{""choice_list_name"":""reasons"",""data_value"":""dead"",""display"":{""title"":{""text"":{""default"":""Dead"",""es"":""Muerto""}}},""_row_num"":21},{""choice_list_name"":""reasons"",""data_value"":""not_applicable"",""display"":{""title"":{""text"":{""default"":""Not Applicable"",""es"":""N/A""}}},""_row_num"":22}]"
Column,reason_not_working,displayName,object,"{""text"":{""default"":""Reason Not Working"",""es"":""Razon por no functionar""}}"
Column,refrigerator_id,displayName,object,"{""text"":{""default"":""Refrigerator ID"",""es"":""ID de Frigorífico""}}"
Column,regionLevel1,displayName,object,"{""text"":{""default"":""Level 1 of admin region"",""es"":""Nievel Uno de Región de Administracion""}}"
Column,regionLevel2,displayName,object,"{""text"":{""default"":""Level 2 of admin region"",""es"":""Nievel Dos de Región de Administracion""}}"
Column,tracking_id,displayName,object,"{""text"":{""default"":""Tracking ID"",""es"":""Número de seguimiento""}}"
Column,utilization,displayChoicesList,object,"[{""choice_list_name"":""current_use"",""data_value"":""in_use"",""display"":{""title"":{""text"":{""default"":""In Use"",""es"":""En Uso""}}},""_row_num"":24},{""choice_list_name"":""current_use"",""data_value"":""not_in_use"",""display"":{""title"":{""text"":{""default"":""Not In Use"",""es"":""No En Uso""}}},""_row_num"":25},{""choice_list_name"":""current_use"",""data_value"":""in_store_for_allocation"",""display"":{""title"":{""text"":{""default"":""In Store For Allocation"",""es"":""Almacenado Epsperando asignación""}}},""_row_num"":26}]"
Column,utilization,displayName,object,"{""text"":{""default"":""In Use"",""es"":""En uso""}}"
Column,voltage_regulator,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":{""default"":""Yes"",""es"":""Sí""}}},""_row_num"":28},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":{""default"":""No"",""es"":""No""}}},""_row_num"":29},{""choice_list_name"":""yes_no"",""data_value"":""unknown"",""display"":{""title"":{""text"":{""default"":""Unknown"",""es"":""Desconocido""}}},""_row_num"":30}]"
Column,voltage_regulator,displayName,object,"{""text"":{""default"":""Voltage Regulator"",""es"":""Regulador de voltaje""}}"
Column,working_status,displayChoicesList,object,"[{""choice_list_name"":""status"",""data_value"":""functioning"",""display"":{""title"":{""text"":{""default"":""Functioning"",""es"":""Functionando""}}},""_row_num"":14},{""choice_list_name"":""status"",""data_value"":""awaiting_repair"",""display"":{""title"":{""text"":{""default"":""Awaiting Repair"",""es"":""Esperando Servicio""}}},""_row_num"":15},{""choice_list_name"":""status"",""data_value"":""unservicable"",""display"":{""title"":{""text"":{""default"":""Unservicable"",""es"":""Irreparable""}}},""_row_num"":16}]"
Column,working_status,displayName,object,"{""text"":{""default"":""Working Status"",""es"":""Functionando""}}"
Column,year,displayName,object,"{""text"":{""default"":""Year Installed"",""es"":""Año de instalacion""}}"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,refrigerators
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/assets/aa_refrigerators_detail.html
Table,default,displayName,object,"{""text"":{""default"":""Refrigerators"",""es"":""Frigoríficos""}}"
Table,default,listViewFileName,string,config/assets/aa_refrigerators_list.html
