_element_key,_element_name,_element_type,_list_child_element_keys
date_serviced,date_serviced,date,[]
maintenance_log_image,maintenance_log_image,mimeUri,"[""maintenance_log_image_contentType"",""maintenance_log_image_uriFragment""]"
maintenance_log_image_contentType,contentType,mimeType,[]
maintenance_log_image_uriFragment,uriFragment,rowpath,[]
notes,notes,string,[]
other_maintenance,other_maintenance,string,[]
other_repair,other_repair,string,[]
other_spare_parts,other_spare_parts,string,[]
preventative_comments,preventative_comments,string,[]
refrigerator_id,refrigerator_id,string,[]
repair_activities,repair_activities,string,[]
serviced_by,serviced_by,string,[]
spare_parts_electrical,spare_parts_electrical,array,"[""spare_parts_electrical_items""]"
spare_parts_electrical_items,items,string,[]
spare_parts_hardware,spare_parts_hardware,array,"[""spare_parts_hardware_items""]"
spare_parts_hardware_items,items,string,[]
spare_parts_monitoring,spare_parts_monitoring,array,"[""spare_parts_monitoring_items""]"
spare_parts_monitoring_items,items,string,[]
spare_parts_power,spare_parts_power,array,"[""spare_parts_power_items""]"
spare_parts_power_items,items,string,[]
spare_parts_refrigeration,spare_parts_refrigeration,array,"[""spare_parts_refrigeration_items""]"
spare_parts_refrigeration_items,items,string,[]
spare_parts_solar,spare_parts_solar,array,"[""spare_parts_solar_items""]"
spare_parts_solar_items,items,string,[]
technician_name,technician_name,string,[]
technician_phone,technician_phone,string,[]
type_of_maintenance,type_of_maintenance,array,"[""type_of_maintenance_items""]"
type_of_maintenance_items,items,string,[]
type_of_preventative_maintenance,type_of_preventative_maintenance,array,"[""type_of_preventative_maintenance_items""]"
type_of_preventative_maintenance_items,items,string,[]
type_of_repair,type_of_repair,array,"[""type_of_repair_items""]"
type_of_repair_items,items,string,[]
