_partition,_aspect,_key,_type,_value
Column,catalog_id,displayName,object,"{""text"":{""default"":""Catalog ID"",""es"":""ID de Cataĺogo""}}"
Column,climate_zone,displayChoicesList,object,"[{""choice_list_name"":""climate_zones"",""data_value"":""moderate"",""display"":{""text"":{""default"":""Moderate"",""es"":""Moderate""}},""_row_num"":16},{""choice_list_name"":""climate_zones"",""data_value"":""temperate"",""display"":{""text"":{""default"":""Temperate"",""es"":""Templado""}},""_row_num"":17},{""choice_list_name"":""climate_zones"",""data_value"":""hot"",""display"":{""text"":{""default"":""Hot"",""es"":""Caliente""}},""_row_num"":18}]"
Column,climate_zone,displayName,object,"{""text"":{""default"":""Climate Zone"",""es"":""Mejor Clima""}}"
Column,equipment_type,displayChoicesList,object,"[{""choice_list_name"":""equipment_types"",""data_value"":""chest_refrigerator"",""display"":{""text"":{""default"":""Chest Refrigerator"",""es"":""Frigorífico de baúl""}},""_row_num"":8},{""choice_list_name"":""equipment_types"",""data_value"":""chest_freezer"",""display"":{""text"":{""default"":""Chest Freezer"",""es"":""Congelador de baúl""}},""_row_num"":9},{""choice_list_name"":""equipment_types"",""data_value"":""upright_refrigerator"",""display"":{""text"":{""default"":""Upright Refrigerator"",""es"":""Frigorífico fijo""}},""_row_num"":10},{""choice_list_name"":""equipment_types"",""data_value"":""ice_pack_freezer"",""display"":{""text"":{""default"":""Ice Pack Freezer"",""es"":""Congelador de bloque de hielo""}},""_row_num"":11},{""choice_list_name"":""equipment_types"",""data_value"":""ice_lined_refrigerator"",""display"":{""text"":{""default"":""Ice Lined Refrigerator"",""es"":""Congelador lineado con hielo""}},""_row_num"":12},{""choice_list_name"":""equipment_types"",""data_value"":""solar_photovoltaic_refrigerator"",""display"":{""text"":{""default"":""Solar Photovoltaic Refrigerator"",""es"":""Frigorífico de solár""}},""_row_num"":13},{""choice_list_name"":""equipment_types"",""data_value"":""solar_thermal_refrigerator"",""display"":{""text"":{""default"":""Solar Thermal Refrigerator"",""es"":""Frigorífico termal""}},""_row_num"":14}]"
Column,equipment_type,displayName,object,"{""text"":{""default"":""Equipment Type"",""es"":""Tipo""}}"
Column,freezer_gross_volume,displayName,object,"{""text"":{""default"":""Freezer Gross Volume"",""es"":""Volumen en Bruto de Congelador""}}"
Column,freezer_net_volume,displayName,object,"{""text"":{""default"":""Freezer Net Volume"",""es"":""Volumen Neto de Congelador""}}"
Column,manufacturer,displayName,object,"{""text"":{""default"":""Manufacturer"",""es"":""Fabricante""}}"
Column,model_id,displayName,object,"{""text"":{""default"":""Model ID"",""es"":""Modelo""}}"
Column,power_source,displayChoicesList,object,"[{""choice_list_name"":""power_sources"",""data_value"":""electricity"",""display"":{""text"":{""default"":""Electricity"",""es"":""Electricidad""}},""_row_num"":2},{""choice_list_name"":""power_sources"",""data_value"":""kerosene"",""display"":{""text"":{""default"":""Kerosene"",""es"":""Queroseno""}},""_row_num"":3},{""choice_list_name"":""power_sources"",""data_value"":""gas"",""display"":{""text"":{""default"":""Gas"",""es"":""Combustible""}},""_row_num"":4},{""choice_list_name"":""power_sources"",""data_value"":""solar"",""display"":{""text"":{""default"":""Solar"",""es"":""Solár""}},""_row_num"":5},{""choice_list_name"":""power_sources"",""data_value"":""unknown"",""display"":{""text"":{""default"":""Unknown"",""es"":""Desconocido""}},""_row_num"":6}]"
Column,power_source,displayName,object,"{""text"":{""default"":""Power Source"",""es"":""Fuente de Poder""}}"
Column,refrigerator_gross_volume,displayName,object,"{""text"":{""default"":""Refrigerator Gross Volume"",""es"":""Volumen en Bruto de Frigorífico""}}"
Column,refrigerator_net_volume,displayName,object,"{""text"":{""default"":""Refrigerator Net Volume"",""es"":""Volumen Neto de Frigorífico""}}"
Column,refrigerator_picture,displayName,object,"{""text"":{""default"":""Picture"",""es"":""Foto""}}"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,refrigerator_types
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/assets/aa_refrigerator_types_detail.html
Table,default,displayName,object,"{""text"":{""default"":""Refrigerator Types"",""es"":""Modelos de Frigeríficos""}}"
Table,default,listViewFileName,string,config/assets/aa_refrigerator_types_list.html
